StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,213 - personal_1,213 - personal_2,213 - personal_3,213 - user query,213 - ranking_0_GROUP,213 - ranking_0_1_RANK,213 - ranking_0_2_RANK,213 - ranking_0_3_RANK,213 - ranking_0_4_RANK,213 - ranking_0_5_RANK,213 - ranking_0_6_RANK,253 - personal_1,253 - personal_2,253 - personal_3,253 - user query,253 - ranking_0_GROUP,253 - ranking_0_1_RANK,253 - ranking_0_2_RANK,253 - ranking_0_3_RANK,253 - ranking_0_4_RANK,253 - ranking_0_5_RANK,253 - ranking_0_6_RANK,234 - personal_1,234 - personal_2,234 - personal_3,234 - user query,234 - ranking_0_GROUP,234 - ranking_0_1_RANK,234 - ranking_0_2_RANK,234 - ranking_0_3_RANK,234 - ranking_0_4_RANK,234 - ranking_0_5_RANK,234 - ranking_0_6_RANK,283 - personal_1,283 - personal_2,283 - personal_3,283 - user query,283 - ranking_0_GROUP,283 - ranking_0_1_RANK,283 - ranking_0_2_RANK,283 - ranking_0_4_RANK,283 - ranking_0_5_RANK,283 - ranking_0_6_RANK,283 - ranking_0_3_RANK,Random ID,mistakes
2022-02-10 01:31:53,2022-02-10 01:34:42,0,76.221.209.152,100,169,1,2022-02-10 01:34:43,R_3rZlxyNdeB0zZQl,,,,,42.2967071533203125,-85.20659637451171875,anonymous,EN,1,,0,0,,5,4,5,carpal tunnel syndrome symptoms,"1,5,3,4,2,6",1,5,3,4,2,6,3,3,5,abscessed tooth symptoms treatment,"1,2,3,4,5,6",1,2,3,4,5,6,5,4,4,dark chocolate health benefits,"3,5,4,2,1,6",5,4,1,3,2,6,3,2,4,hay ride pennsylvania,"5,6,2,4,1,3",5,3,4,1,2,6,97354941759,1
2022-02-10 01:31:09,2022-02-10 01:36:09,0,68.169.141.54,100,299,1,2022-02-10 01:36:09,R_0rcuRYsVRGz1t9D,,,,,35.1587066650390625,-85.21630096435546875,anonymous,EN,1,,0,0,,4,4,4,carpal tunnel symptoms,"4,3,1,2,5,6",3,4,2,1,5,6,4,5,4,tooth pain treatments,"1,3,4,5,2,6",1,5,2,3,4,6,4,4,4,dark chocolate health benefits,"6,4,2,5,3,1",6,3,5,2,4,1,4,4,4,Pennsylvania hay rides,"4,5,2,6,1,3",5,3,1,2,4,6,17248459875,2
2022-02-10 01:31:00,2022-02-10 01:39:18,0,71.114.159.253,100,498,1,2022-02-10 01:39:19,R_2AEyV93lR0oVzrx,,,,,40.29949951171875,-76.58679962158203125,anonymous,EN,1,,0,0,,4,3,4,"carpal tunnel symptoms ","4,1,3,5,2,6",2,5,3,1,4,6,4,4,5,how to treat an abscessed tooth,"3,1,2,4,5,6",2,3,1,4,5,6,5,4,5,health benefits of dark chocolate,"6,5,4,3,2,1",6,5,4,3,2,1,5,3,4,where to go on a hayride in PA,"4,5,2,6,1,3",5,3,1,2,4,6,47883414346,2
2022-02-10 01:56:47,2022-02-10 01:59:44,0,97.94.83.51,100,177,1,2022-02-10 01:59:45,R_1op6oXpoD1kiiYr,,,,,43.1772003173828125,-85.2472991943359375,anonymous,EN,1,,0,0,,2,4,5,Carpal tunnel syndrome symptoms,"1,4,3,5,2,6",1,5,3,2,4,6,4,5,5,Abscess tooth treatment,"3,1,2,4,5,6",2,3,1,4,5,6,4,5,5,Dark chocolate health benefits,"4,5,3,2,1,6",5,4,3,1,2,6,5,5,5,Pennsylvania hay rides,"4,5,2,6,1,3",5,3,1,2,4,6,53929812579,1
2022-02-10 19:13:39,2022-02-10 19:22:49,0,69.14.90.158,100,549,1,2022-02-10 19:22:49,R_20YbXXylH5c2iBW,,,,,41.395904541015625,-82.00350189208984375,anonymous,EN,1,,0,5,,3,3,4,carpal tunnel syndrome symptoms,"1,5,4,3,2,6",1,5,4,3,2,6,3,4,4,dental abscess treatment,"1,3,2,4,5,6",1,3,2,4,5,6,2,4,4,dark chocolate health benefits,"4,3,2,5,1,6",5,3,2,1,4,6,2,3,3,Hay rides in Pennsylvania,"4,2,6,5,1,3",5,2,1,4,3,6,36614844345,1
2022-02-10 21:08:37,2022-02-10 21:21:41,0,208.118.154.35,100,784,1,2022-02-10 21:21:41,R_3HOfE31tOC51SfF,,,,,46.1363067626953125,-92.589202880859375,anonymous,EN,1,,0,0,,2,4,4,What our symptoms of a person having carpal tunnel syndrome?,"5,4,1,2,3,6",3,4,5,2,1,6,5,5,4,Remedies for a abscess tooth?,"3,1,2,4,5,6",2,3,1,4,5,6,4,4,4,"What our the benefits of Dark Chocolate? ","6,4,5,2,3,1",6,4,5,2,3,1,2,4,4,Where in Pennsylvania for Christmas can you go on a hay ride?,"4,2,6,5,1,3",5,2,1,4,3,6,24636013368,2
2022-02-10 22:03:47,2022-02-10 22:14:42,0,207.244.89.161,100,654,1,2022-02-10 22:14:42,R_cI3P8z5cjpoul7X,,,,,39.714996337890625,-75.6177978515625,anonymous,EN,0.89999997615814208984375,,0,105,,4,2,5,Relation between hand pain and carpal tunnel syndrome?,"4,3,1,5,2,6",3,5,2,1,4,6,2,4,5,abscess treatment,"3,1,2,4,5,6",2,3,1,4,5,6,2,4,5,Health benefits of dark chocolate?,"5,4,3,2,1,6",5,4,3,2,1,6,4,2,5,Hay ride holiday in pennsylvania?,"4,5,2,6,1,3",5,3,1,2,4,6,94294920470,1
2022-02-11 04:05:27,2022-02-11 04:11:43,0,108.56.207.77,100,375,1,2022-02-11 04:11:43,R_1E4BMniLrbDJsYx,,,,,38.981597900390625,-77.00440216064453125,anonymous,EN,1,,0,0,,2,4,5,carpal tunnel symptoms,"1,4,3,5,2,6",1,5,3,2,4,6,2,4,5,abscess tooth treatments,"1,2,3,4,5,6",1,2,3,4,5,6,4,4,5,dark chocolate health benefits,"5,4,2,3,1,6",5,3,4,2,1,6,3,4,4,hay rides Pennsylvania,"6,2,5,4,1,3",5,2,4,3,1,6,68447514881,2
2022-02-11 10:21:46,2022-02-11 10:26:09,0,108.234.158.75,100,263,1,2022-02-11 10:26:10,R_3G3xuoX2kJSBgoU,,,,,41.5435943603515625,-87.6826019287109375,anonymous,EN,0.89999997615814208984375,,0,0,,1,2,3,Pain similiar to Carpal Tunnel Syndrome,"1,4,3,5,2,6",1,5,3,2,4,6,1,3,5,Abscess tooth treatment,"3,1,2,4,5,6",2,3,1,4,5,6,4,5,5,Dark chocolate health benefits,"4,2,5,3,6,1",6,2,4,1,3,5,2,5,5,Hay ride Pennsylvania,"4,5,6,2,1,3",5,4,1,2,3,6,27262946246,2
2022-02-11 10:44:41,2022-02-11 10:48:16,0,69.14.233.210,100,214,1,2022-02-11 10:48:16,R_6ioYESh7ZreB6OB,,,,,42.2931060791015625,-83.25479888916015625,anonymous,EN,0.89999997615814208984375,,0,0,,5,5,5,"General information about carpal tunnel syndrome ","4,3,1,5,6,2",3,6,2,1,4,5,5,5,4,"What treatments are available for a tooth abscess ","3,1,2,5,4,6",2,3,1,5,4,6,5,5,5,What are the health benefits of dark chocolate,"4,5,3,2,1,6",5,4,3,1,2,6,2,2,4,Where in Pennsylvania can you go on a hay ride?,"4,2,5,6,1,3",5,2,1,3,4,6,91144424206,2
2022-02-11 13:01:23,2022-02-11 13:06:14,0,73.157.41.91,100,290,1,2022-02-11 13:06:14,R_1nNrM52Qdtop16p,,,,,47.722900390625,-122.19609832763671875,anonymous,EN,1,,0,0,,4,4,5,symptoms of carpal tunnel syndrome,"4,1,3,5,2,6",2,5,3,1,4,6,2,4,4,tooth abscess treatments,"3,1,2,4,5,6",2,3,1,4,5,6,2,4,4,dark chocolate health benefits,"4,5,3,2,1,6",5,4,3,1,2,6,1,2,4,Hay rides in Pennsylvania,"4,2,5,6,1,3",5,2,1,3,4,6,81686870353,1
2022-02-11 13:00:31,2022-02-11 13:02:39,0,72.128.43.112,77,127,0,2022-02-11 14:00:31,R_22VLnpZbjkJ7Rzh,,,,,,,anonymous,EN,1,,0,0,,4,4,4,carpal tunnel syndrome,"1,4,3,2,6,5",1,4,3,2,6,5,,,,,,,,,,,,2,4,5,health benefits of dark chocolate.,"5,4,3,6,1,2",5,6,3,2,1,4,4,4,4,hay ride penn,"5,4,6,1,3,2",4,6,2,1,3,5,42382631700,5
2022-02-11 15:26:39,2022-02-11 15:31:43,0,99.29.152.81,100,304,1,2022-02-11 15:31:45,R_1gOw3kRXWLtpiG2,,,,,41.534393310546875,-81.53189849853515625,anonymous,EN,1,,0,0,,5,5,5,Carpal tunnel syndrome symptoms,"4,3,1,5,2,6",3,5,2,1,4,6,5,3,4,Tooth abscess symptoms,"3,1,2,4,5,6",2,3,1,4,5,6,5,5,5,health benefits dark chocolate,"4,5,3,2,1,6",5,4,3,1,2,6,4,2,5,hayrides in pennsylvania,"4,5,2,6,1,3",5,3,1,2,4,6,57948679376,1
2022-02-11 16:17:23,2022-02-11 16:21:04,0,104.172.136.246,100,221,1,2022-02-11 16:21:04,R_3KlicAYtGFG06bL,,,,,34.1855926513671875,-119.2136993408203125,anonymous,EN,1,,0,0,,2,2,4,"Carpal tunnel syndrome, what are the symptoms?","4,1,3,2,5,6",2,4,3,1,5,6,1,4,4,"Tooth pain in back of jaw, is it an abscess? How do I treat it?","5,3,1,4,2,6",3,5,2,4,1,6,2,5,4,"What are the health benefits of dark chocolate? ","4,5,2,3,6,1",6,3,4,1,2,5,1,1,5,"The best hayrides in Pennsylvania? ","4,5,2,6,1,3",5,3,1,2,4,6,77089664537,2
